ticket_id,priority,description,status,assigned_to,created_at,resolution_time_hours
2000,High,Ticket 0 problem description,Resolved,IT_Support_A,1/27/2024 5:00,24
2001,Medium,Ticket 1 problem description,Resolved,IT_Support_C,8/6/2024 7:00,37
2002,High,Ticket 2 problem description,Open,IT_Support_C,4/7/2024 11:00,40
2003,Medium,Ticket 3 problem description,Resolved,IT_Support_A,8/24/2024 20:00,6
2004,Critical,Ticket 4 problem description,Resolved,IT_Support_B,6/21/2024 16:00,19
2005,High,Ticket 5 problem description,Open,IT_Support_C,7/8/2024 13:00,80
2006,Medium,Ticket 6 problem description,Resolved,IT_Support_A,3/4/2024 1:00,7
2007,Medium,Ticket 7 problem description,Resolved,IT_Support_A,7/11/2024 18:00,10
2008,High,Ticket 8 problem description,Resolved,IT_Support_A,6/29/2024 3:00,41
2009,High,Ticket 9 problem description,Resolved,IT_Support_A,10/8/2024 20:00,32
2010,High,Ticket 10 problem description,Resolved,IT_Support_C,9/23/2024 7:00,70
2011,Low,Ticket 11 problem description,In Progress,IT_Support_C,1/11/2024 3:00,46
2012,Medium,Ticket 12 problem description,Open,IT_Support_A,4/22/2024 6:00,15
2013,Medium,Ticket 13 problem description,Resolved,IT_Support_A,8/19/2024 2:00,30
2014,Low,Ticket 14 problem description,Resolved,IT_Support_A,4/7/2024 22:00,37
2015,High,Ticket 15 problem description,Resolved,IT_Support_A,4/20/2024 23:00,29
2016,Low,Ticket 16 problem description,Waiting for User,IT_Support_C,9/2/2024 21:00,75
2017,Medium,Ticket 17 problem description,Resolved,IT_Support_A,3/9/2024 23:00,4
2018,High,Ticket 18 problem description,Resolved,IT_Support_A,10/15/2024 3:00,20
2019,Medium,Ticket 19 problem description,Resolved,IT_Support_A,8/26/2024 19:00,32
2020,Low,Ticket 20 problem description,Resolved,IT_Support_B,8/14/2024 19:00,36
2021,Medium,Ticket 21 problem description,In Progress,IT_Support_A,7/19/2024 1:00,4
2022,Low,Ticket 22 problem description,Resolved,IT_Support_C,3/13/2024 8:00,61
2023,Medium,Ticket 23 problem description,In Progress,IT_Support_A,10/22/2024 16:00,17
2024,Low,Ticket 24 problem description,Resolved,IT_Support_C,5/8/2024 10:00,83
2025,Medium,Ticket 25 problem description,In Progress,IT_Support_B,4/13/2024 9:00,22
2026,Low,Ticket 26 problem description,Resolved,IT_Support_A,1/25/2024 6:00,17
2027,Medium,Ticket 27 problem description,Resolved,IT_Support_B,10/17/2024 2:00,10
2028,High,Ticket 28 problem description,Open,IT_Support_C,8/16/2024 11:00,49
2029,Critical,Ticket 29 problem description,Waiting for User,IT_Support_C,6/20/2024 18:00,62
2030,High,Ticket 30 problem description,In Progress,IT_Support_B,4/11/2024 1:00,26
2031,Critical,Ticket 31 problem description,Resolved,IT_Support_B,1/12/2024 18:00,18
2032,High,Ticket 32 problem description,Waiting for User,IT_Support_C,4/10/2024 11:00,69
2033,Medium,Ticket 33 problem description,Resolved,IT_Support_B,1/17/2024 9:00,47
2034,Medium,Ticket 34 problem description,Waiting for User,IT_Support_A,2/26/2024 22:00,29
2035,Low,Ticket 35 problem description,Resolved,IT_Support_C,1/12/2024 15:00,61
2036,Low,Ticket 36 problem description,Open,IT_Support_A,8/3/2024 18:00,36
2037,Medium,Ticket 37 problem description,In Progress,IT_Support_B,9/20/2024 20:00,35
2038,Low,Ticket 38 problem description,Open,IT_Support_A,3/21/2024 22:00,12
2039,Low,Ticket 39 problem description,Resolved,IT_Support_A,7/16/2024 7:00,7
2040,Medium,Ticket 40 problem description,Resolved,IT_Support_A,1/25/2024 17:00,29
2041,High,Ticket 41 problem description,In Progress,IT_Support_C,3/29/2024 11:00,31
2042,High,Ticket 42 problem description,Resolved,IT_Support_A,5/22/2024 8:00,33
2043,High,Ticket 43 problem description,Waiting for User,IT_Support_A,1/26/2024 14:00,6
2044,High,Ticket 44 problem description,Open,IT_Support_A,10/14/2024 9:00,47
2045,High,Ticket 45 problem description,Resolved,IT_Support_B,1/16/2024 6:00,15
2046,Low,Ticket 46 problem description,Open,IT_Support_C,10/8/2024 20:00,62
2047,Low,Ticket 47 problem description,Resolved,IT_Support_B,3/26/2024 6:00,11
2048,Critical,Ticket 48 problem description,Open,IT_Support_B,9/26/2024 14:00,23
2049,High,Ticket 49 problem description,In Progress,IT_Support_C,4/26/2024 6:00,59
2050,Critical,Ticket 50 problem description,Resolved,IT_Support_B,5/16/2024 18:00,34
2051,Medium,Ticket 51 problem description,Resolved,IT_Support_A,6/24/2024 7:00,46
2052,Medium,Ticket 52 problem description,Waiting for User,IT_Support_A,8/2/2024 17:00,34
2053,Low,Ticket 53 problem description,Resolved,IT_Support_A,8/10/2024 19:00,29
2054,Medium,Ticket 54 problem description,Resolved,IT_Support_A,4/12/2024 16:00,4
2055,Low,Ticket 55 problem description,Resolved,IT_Support_B,1/14/2024 23:00,17
2056,Low,Ticket 56 problem description,Resolved,IT_Support_C,4/17/2024 12:00,62
2057,High,Ticket 57 problem description,Resolved,IT_Support_A,4/7/2024 2:00,13
2058,Low,Ticket 58 problem description,Resolved,IT_Support_B,10/19/2024 10:00,41
2059,Medium,Ticket 59 problem description,Resolved,IT_Support_B,7/1/2024 22:00,39
2060,Medium,Ticket 60 problem description,Open,IT_Support_A,2/8/2024 14:00,15
2061,Medium,Ticket 61 problem description,Resolved,IT_Support_C,1/4/2024 21:00,55
2062,Low,Ticket 62 problem description,Resolved,IT_Support_B,7/28/2024 0:00,29
2063,Medium,Ticket 63 problem description,Resolved,IT_Support_A,1/16/2024 12:00,11
2064,Low,Ticket 64 problem description,Resolved,IT_Support_C,4/17/2024 1:00,51
2065,Low,Ticket 65 problem description,Resolved,IT_Support_B,8/14/2024 9:00,2
2066,Medium,Ticket 66 problem description,Open,IT_Support_B,2/3/2024 22:00,47
2067,Low,Ticket 67 problem description,In Progress,IT_Support_B,9/25/2024 12:00,14
2068,Medium,Ticket 68 problem description,Resolved,IT_Support_B,9/30/2024 2:00,20
2069,Medium,Ticket 69 problem description,In Progress,IT_Support_C,2/8/2024 13:00,95
2070,Medium,Ticket 70 problem description,Open,IT_Support_A,1/29/2024 16:00,11
2071,High,Ticket 71 problem description,Resolved,IT_Support_A,9/1/2024 11:00,27
2072,Low,Ticket 72 problem description,Waiting for User,IT_Support_A,7/3/2024 15:00,3
2073,Medium,Ticket 73 problem description,Waiting for User,IT_Support_C,8/23/2024 14:00,67
2074,Medium,Ticket 74 problem description,Resolved,IT_Support_A,9/22/2024 6:00,44
2075,Low,Ticket 75 problem description,Resolved,IT_Support_C,3/5/2024 16:00,75
2076,High,Ticket 76 problem description,Waiting for User,IT_Support_B,1/3/2024 12:00,29
2077,Medium,Ticket 77 problem description,Open,IT_Support_C,5/21/2024 23:00,44
2078,Medium,Ticket 78 problem description,Resolved,IT_Support_C,6/6/2024 17:00,73
2079,Low,Ticket 79 problem description,In Progress,IT_Support_C,5/25/2024 4:00,78
2080,Medium,Ticket 80 problem description,In Progress,IT_Support_C,6/1/2024 15:00,90
2081,Low,Ticket 81 problem description,In Progress,IT_Support_B,7/11/2024 20:00,20
